content,Label
saya kasih satu dulu kalo aplikasinya ok baru saya kasih 5bintang,negatif
mantul bosq,positif
"Aplikasi tolol, sdh buka mulut macam orang gila, tapi ga terbacaÂ²",negatif
limit bukanya naik malah turun joh dancok aplikasi ok jembot,negatif
Ko aneh sudah di bayar GK pernah nunggak ko limit nya mendadak GK ada aneh ini aplksi,negatif
Pembayaran tepat waktu masih di bilang jelek di sistem. Lebih baik gak usah,negatif
Omong kosing,negatif
"Udah pelunasan jauh-jauh hari, eh limit langsung ilang.cuihh",negatif
Pembayaran bagus tapi limit bukan bertambah malah berkurang,negatif
Aplikasinya sudah bagus.. Cuman ada sedikit masalah di limit...saya daftar terus cek limit saya cuman Rp.100.000. Kalau cuman 100.000 buat apa limit gituan ðŸ¤¦ðŸ¤¦ðŸ¤¦ðŸ¤¦,positif
sudah beberapa kali pengajuan tapi tidak pernah di setujui / di acc. Iklanya meYakinkan bahkan berasa mudah. Namun kenyataan nya jauh dari harapan. Percuma juga Anda beri iklan ke akun ku. Lebih baik jauh dariku jangan tampakan iklan mu di Hp ku.,negatif
"Aplikasi Apaan..Cuma pengen liat limit,sudah isi data semua tp verifikasi gagal..Jangan Salahgunakan data saya",negatif
Damn,negatif
"Aplikasi gak jelas... Pembayaran gak pernah telat, giliran sudah lunas, tiba2 limit di nonaktifkan",negatif
"saya ditlpn terus,padahal sudah saya bilang tidak terimakasih ttp ditlpn trus tolong pihak Easycash jangan tlpn2 terus,sanggat menganggu.",negatif
GK jelas,negatif
"Diawal aja dikasi limit 3jt pas udah pelunasan pengajuan lsg gak bisa, limit dikasi 200rb ngajukan aja tidak bisa alias ditolak, padahal pembayaran gak pernah telat. Aplikasi menyesatkan tenor pembayaran per 15 hari. Lsg hapus data tutup akun.",negatif
limite udah naik tapi tidak sesuai hanya tertera 200 ribu limite nya aneh,negatif
Aplikasi busuk bunga nga masuk akal,negatif
Aplikasi buruk selalu gagal,negatif
"Aplikasi perusak data"" orang saja aplikasi ðŸ•ðŸ•ðŸ•ðŸ‘ŽðŸ˜¡ðŸ˜¡ðŸ˜¡",negatif
"Yth bapak ibu Saya yang bernama rayenita putri nanda meminta tolong untuk menghapus data-data pribadi saya di aplikasi ini agar tidak di salah gunakan,, Karena pinjaman saya tidak di proses atau di tolak saya tunggu balasan dari bapak ibu terimakasih",negatif
dilunasin limit malah berkurang aplikasi aneh,negatif
Cok apk gatel mung lagek download apk lebokno nomer tok wes di telpon i matane picek wieh,negatif
"Aplikasi sampah, saya diteror terus menerus dengan cara di tlp dengan nomor yang berbeda, sampah banget asli data gue tercemar",negatif
Easycash sudah Bangkrut. Tidak punya Dana/Modal,negatif
"pertama daftar limit 700.000 . trus gak ambil pinjaman. giliran di coba lagi, malah limit tidak lolos verifikasi, di tambah iklan nongol trus di segala aplikasi.. huffttt",negatif
Sangat risih banyak banget yang nelpon padahal gapunya utang sama sekali sangat menganggu banget,negatif
Sangat kecewa suda 3 x minjam sampai lunas semua tapi limit makin turun dan limit pun menghilang,negatif
Pinjol haram,negatif
Megangu,negatif
bisa membantu orang yg lagi susah,positif
Lama kelamaan limit nya hilang gak dikash lagii. Padahal bayar lancar. Mending ke yng lain aja,negatif
Di kira mau naik limit klo setelah lunas cicilan ternyata tidak sangattt kecewa Pindah aja ke tetangga sebelah,negatif
Ceritanya diksh pjmn limit 600 ..dibyr 4 x .. lunas pijm kedua lolos tra lunas...pas pijm mau ke 3 kalinya kok g lolos ya....,negatif
"Ini gimana sih, dah dapat limit, data dah masuk tp pengajuan ditolak, tlng data saya mohon dihapus, trmksh",negatif
Peminjaman 2kali pembayaran tepat waktu pas pengajuan ke3 kali tiba tiba limitnya hilang entah di telan bumi sangat mengecewakan nasabah,negatif
"woy dibilang hapus data2 dan nomer hp saya .. anak buah CS anda selalu mengganggu aktivitas saya tiap menit, jika masih meneror sya laporkan ke polisi atau ojk. HAPUS DATA DAN NOMER HP SAYA ðŸ–•",negatif
ga di acc awas sampe ada yang mengatas namakan saya tak obrak abrik kantormu,negatif
Tak jadi ajukan pinjaman jadi mohon data saya di hapus ya dan jangan disalah gunakan. Terimakasih,negatif
Pinjaman gak bermutu... Gak punya tunggakan tapi mau ngajuin selalu di tolak jelek sekali aplikasi ini..,negatif
Hoax ga bisa pinjol,negatif
Pinjaman bangsat,negatif
Gmna sih anda yang menawarkan pengajuan pas saya ambil malah di tolak ....nanti saya akan lunaskan cicilan setelah itu saya tidak akan mengambil pengajuan lagi JD tolong hapus data saya kalo tidak bisa jaga data saya jangan sampe tersebar saya tidak akan tanggung jawab,negatif
ok,positif
"Tidak sesuai Iklan..Baru download, limit cuma 500.000,,awas ya data saya kalian salah pergunakan..",negatif
Prncairan Pinjaman dipotong 10% plus bunga sangat tinggi,negatif
"Awal limit 15jt, gak pernah telat bayar sama sekali, udah lunas semua tagihan malah turun jadi 100ribu. Aplikasi aneh",negatif
kocak,negatif
Saya lumayan kecewa dengan aplikasi ini.. Pengajuan pertama sukses dgn limit 500rb cicilan pun saya bayar sebelum jatuh tempo setelah lunas kenapa limit nya malah turun menjadi 300rb.. Pas pengajuan ke dua sempat telat 5hari tapi setelah itu saya lunasi eh kok malah gak ada limit nya sama sekali...,negatif
maaf saya tidak mau pinjam.takut riba,negatif
"Aplikasi asu kalau gak bisa cair gak usah sok banyak iklan, data pribadi sudah terlanjur di daftarkan, asuuu!!!!",negatif
Easy cash dkthr,negatif
"Cukup 1 bintang aja, kecewa aku SDH 2 kali pinjam lancar bayarpun juga GK pernah telat giliran mau pinjam lagi gak bisa ,kecewa beratlah pokoknya",negatif
"Pinjaman ketiga ditolak,saya sudah 2 kali pinjam dieasy cash.malah pinjaman ke tiga ditolak",negatif
Padahal udah saya lunasi pas 4 setoran terakhir eh pas sudah pelunasan palah gada limitnya ðŸ˜,negatif
Sudah bayar gak pernah telat malah limit anjlok ke 100 ribu...gak serius sama sekali,negatif
Mulai mlm ini saya uninstall apk nya krna baru pengajuan udh gak lulus.tolong hps dataÂ² saya,negatif
Tidak membantu orang kesulitan,negatif
Sangan mengecewakan,negatif
burik,negatif
Ko gak bisa pinjam lagi padahal sudah lunas aneh,negatif
"Easy cash,biaya admin tinggi sampe 10%,bunganya juga tinggi,tadinya saya ngajjuin,tapi bunga tinggi jangka waktunya juga sangat pendek cicilan 6 kali saya pikir 6 bulan ternyata 3 bulan,jadinya bayarnya per 2 minggu,menurut saya ngga oke,jadi saya cari pinjaman lain aja yang lebih rendah...",negatif
"Cuma nyoba daftar ajah tiap hari hampir 5 nomor telfon gak jelas. Apalagi yg hutang gimana rasanya. Jauh"" Dah sama aplikasi ini",negatif
Jelek limit pinjaman y berkurang..,negatif
Udah lama instal tapi Ampe sekarang gak dapet limit sepeserpun udah d uninstal lagi aja alasan nya tidak memenuhi syarat harus undang temen dulu,negatif
"Bisa di bilang ad penipuan disni.. tadi saya pengajuan.. sya kirm rekening..trus ketika pencairan malah gk masuk di rekening saya..tp trbaca di sistem"" pencairan berhasil di nmor rekening berdigit ***6"" bgitu dcocokkan dg 4 digit terkahir rkening sya.. oh trnyta beda.. sy cek di AtM mmg dananya blm msuk.. akan tetapi di sistem tenor sy sdh terbaca 6 kali cicilan.. dan sy sdh hrus byar mulai bulan depan.. kasarnya nih yah teman2.. bukan sy yg dpat pnjamannya namun sy yg byar cicilan perbulan..",negatif
Apa2nan ini apk. Gaje bgt. Gajadi pinjem koq diteror tiap hari. Sangat2 mengganggu,negatif
ok,positif
Dr pelunasan cepat 2023 skr udh 2024 masih aja tdk ada limit easycash skr tdk ky dulu skr sangat tdk membantu gmn mau kasih bintang cocoknya gk bintang,negatif
"baru juga ngajuin udh di tolak,,tolong hapus data saya,,saya sudah menghapus aplikasi pada tanggal 24 April 2024 jam 17:49,jika ada yang menyalahgunakan data saya,saya tidak bertanggung jawab",negatif
"Terlalu berbelit....semua pinjaman pasti punya resiko nasabah...tidak usah terlalu berbelit"" ....untung nggak ada bintang lagi dibawah satu",negatif
semoga bermanfaat bisa membantu rakyat biasa buat modal usaha,positif
Saya udah pinjem dua kali gak pernah telat bayar pas pinjem.lg gak bisa,negatif
Aplikasi nya bagus tapi sayang bunga nya terlalu tinggi..cukup sekali aja untuk pinjamannya,negatif
Spam telpon nya keterlaluan,negatif
"Udah ngisi semua data tp baru mau verifikasi langsung ditolak, mohon tuk menghapus data saya. Jangan sampai disalah gunakan",negatif
Jelek mau minjam aja ribet masak jatuh tempo nya per 15 hari mending ga usah minjam,negatif
klo bgus q ksih 5 bntng,negatif
Saya sudah beberapa kali melunasi pinjaman tetapi ketika saya ingin mengajukan pinjaman sudah tidak ada lagi?,negatif
maksimal pinjaman cuma 100 rb ga mendukung,negatif
"Mohon mf pihak Easycash. Pertama dan kedua x pengajuan di ACC dgn cepat, pas pelunasan degan cepat ngajuin lgi sampai sekarng ini terus di tolak.. sebenrya pihak Easycash sistemnya yg anda gunakan itu salah sekali tolong di perbarui bikin kecewa dlm pengajuan masa hinga sampai saat ini di coba trus TDK di ACC bgmna itu",negatif
"2 bintang aja dulu,kalo limitnya bagus sy kasih full bintang",negatif
Pengajuan ke dua kali nya langsung di tolak langsung saya hapus data hapus aplikasi selesai tuh easy cash uwoww ðŸ˜‚,negatif
Aku kasih bintang dua ajh KK soal nya aku mau masukin kontak darurat nya susah banget dan d tolak Mulu gimana sih ini EAsycash tolong jangan d susahin ini,negatif
"baik cepat , tapi kurang kesepakatan",positif
Kalau mau membayar tagihan bisa lewat Indomaret atau Alfamidi?,negatif
Katanya nyuruh ajuin pinjaman udah di ajuin malah tidak lolos terus aneh aplikasinya,negatif
sering pinjam tapi limit ngga naik2,negatif
bagus,positif
"Berkali kali di coba gagal terus,padahal sebelumnya bayar sdah lunas.",negatif
"Tolong di perbaiki kak, masa aku pinjam 800k trus yg masuk 750k trus pelunasannya 950k",negatif
"Tolong data sya di hapus ya, Terima kasih",negatif
"Limitnya kecil , sngaja diambil biar bisa bbgusin skor dn naik limit . Pas udh dibayar lunas naik limit pun msih sngt kecil dan malaj gbisa untuk pinjem lagi PAYAHHHHHH",negatif
mengapa tidak ada periode bulanan?,negatif
"Apl saya Uda uninstall, mohon hapus data saya ya",negatif
baik bagus,positif
"Aneh sudah pinjam 2 kali dgn nilai 7 JT, malah limitnya berkurang cuma 500rb",negatif
limit kurang besar,negatif
"Kok kayak gitu ya, Biaya penanganan nya besar kali, sampai 20%. Itu di potong saat uang di transfer, kenapa tidak di jelasi di awal. Kalau sistem nya gitu, sama aja bohong. Kita berharap menerima nominal yang di anjukan, eh malah berkurang.ðŸ˜¤",negatif
"Aplikasi apaan ini Uda sering pinjam dsni dgn riwayat peminjaman baik GK perny telat bayar, mau pinjam lagi knpa TDK bisa padahal udah sering pinjam dsni,",negatif
baik lancar cepat,positif
Tolong keluarkan saya dri aplikasi dan bersikan nama saya .karena ini aplikasi susah meminjam . .mna rumit .berbelit Belit,negatif
Aku mau pinjaman Belum disetujui juga Tolong bantuan,negatif
tlg di ACC butuh bngtt buat byr ank sklh,negatif
Tolong data saya yang suda masuk. Dan jangan di salah gunakan,negatif
Udah di lunasin...malah nggk di kasih limit...kecwa hapus data2 saya,negatif
"cukup membantu, prosesnya simple, hanya saja proses pencairan nya kadang cepat kadang Lambatttttt sekalii sampai 1-2 jam, bagi customer yang meminjam untuk keada.an darurat jangan berharap 100% pada aplikasi ini karna Lambatt cairnya",negatif
Bayar bagus tepat waktu tapi limit nya 0 pengajuan lagi yg ada minta data nama ibu dan email kecewa banget,negatif
"Mohonn untukk tidak menghubungiku sayaa hapus akun sayaa ,, sayaaa risihhh jdinyaa ditelponin mullu ðŸ™ðŸ™",negatif
"dpt limit tmbhan 2 hari gk dicairkan tiba""limit turunðŸ¥±",negatif
sangat membantu,positif
Knapa ya kalau saya mau mengajukan pinjaman selalu di tolak .. padahal Uda lengkap berkas nya ..mohon infonya ðŸ™ðŸ™,negatif
"Terima kasih easycash, limitnya sangat gede banget sya dikasih 100 rb...",negatif
"Awalnya saya kasih bintang 5..tapi setelah berjalannya waktu bintangnya berjatuhan.Di pertama kali ajukan pinjaman masih aman..HATI"" SAAT ADA PENAWARAN PINJAMAN SELANJUTNYA..8 X PEMBAYARAN BUKAN BERARTI 8 BULAN (1 x cicilan /bulan) AKAN TETAPI SEBULAN 2 X CICILAN/pembayaran",negatif
"knp saya pinjam 500 tapi cuma di transfer 450 dan cicilan msih sama,ternyata korupsi juga ya apa gimana sistemnya",negatif
Ini apaan udh gw lunasi semue bhkn jauh dr tgl pembayaran gw byr semue mlh eee kok tba2 di ajukan lagi mlh di tolak limit gw 0 merasa ketipungw,negatif
mencoba,negatif
2 dulu kalo cair 5,negatif
Ngakak di iklan TV atau HP Android mah Iyah keliatan gampang dan mudah... Pas nyoba bikin ngakak... Inti nya gk di setujui... Udah gtu beberapa minggu ke depan ada tagihan sebesar 1jt 200rb Kan gk masuk akal... Minjem ajah di tolak.... Masa Iyah saya harus bayar tagihan masuk itu... ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£,negatif
Ga mau naik limitnya,negatif
admin mahal,negatif
"Sangat mengecewakan sbbayar sebelum jatuh tempo harus nya credit kira baik dan limit bisa bertambah minimal limitnya tetap ada walaupun gak d naikan , ini bayar selalu sebelum jatuh tempo limit malah hilang seketika ... Aplikasi aneh !!!!",negatif
dua aj dulu.. blum di acc,negatif
"Saya sudah daftar,,mohon data data saya harus dihapuskan karena,saya tidak dapat pengajuan pinjaman, Mohon dihapus data data saya,jika terjadi sesuatu saya tidak tanggung jawab,karena saya tidak dapat pengajuan pinjaman,",negatif
"Bisa tolong di benerin sistem nya aplikasi ku tidak bisa login , gimana nanti pas mau bayar nanti kalo ga bayar di teror lgi",negatif
"Ngga jdi pijem iya dptr nya sush hapus data saya iya.. terimaksih AN mifroh Atun hapus data saya tgl 21,04,224",negatif
Knpa ea.. ko saya pinjm 1.200 tpi yg d tranfer cuma 1.80.. khn aneh masa gk dha nya 120,negatif
"Perampokan,, potongan 10% orang ketiga dan dari easy cash potongan 10%",negatif
Selalu ditolak berbanding terbalik dengan iklannya,negatif
Awalnya seneng dapat limit 200 pas di ajukan di tolak dasar php,negatif
"Saya ngajuin prosesnya lama.katanya cepat,giliran persyaratan udh lengkap masih verifikasi 1 hari..tolong hapus data saya..bila mna di temukan data saya di salah gunakan saya tidak bertanggung jawab.dan saya proses hukum..",negatif
"Cukup sangat mengecewakan bagi sayah yang pemula,pengajuan ke dua tidak di acc",negatif
Untuk awal bagus cuman kesini ko saya ngga dapet limit,negatif
Saya tidak ada pinjaman lagi disini jangan salah gunakan data saya 21 April 2024,negatif
bintang 2 dlu kalau pinjaman nya sdh acc bru bintang 5,negatif
"Pendaftaran ribet setelah selesai malah ditolak pengajuan pinjaman, tolong jangan salah gunakan data karna saya tidak jadi meminjam karna ditolak dan saya sudah keluar aplikasi, jangan berharap di aplikasi ini karna belum tentu bisa bantu.",negatif
Pengalaman yg buruk bayar seblum jatuh tempo selalu di lunasin sekali angsuran...gliran pengambilan ke 3 setelah di lunasin seblum jatuh tempo malah gk bisa lagi ... ðŸ¥´,negatif
Apaan cuma dikasih limit 200rb,negatif
dua aja dulu,negatif
"Limid udah naik 1.8juta malah ngak bisa minjam di tolak dan di suruh nunggu 1bulan lagi tapi pihak kalian sibuk nelvon saya suruh minjam terus padahal udah di tolak pinjaman saya,sangat aneh",negatif
"Kirain bakal turun lg tenor setelah pelunasan. Sudah menunggu 1 minggu taunya ga turun turun juga padahal pinjaman sudah di lunasi sebelum hari pelunasan. Aneh memang deng aplikasi easycash ini. Nyari customer yg sudah tentu bayar malah ga di turunin limitnya,yang bayar cuman setengah di taikin limitnya. Gokil",negatif
"Tinjau otomatis nya lama bgt,, klo memang tidak bisa yasudah jgn harus nunggu berhari hari",negatif
Peninjau lama,negatif
gk pernah telat bayar tp stelah lunas pncairan LG gk lolos .. apl mengecewakan,negatif
"saya kasih bintang 2 dulu,,krn baru pakai",negatif
Etdah aplikasi apa ini jir gua dah sering makek lh ini Saya pinjam 1000 kok yang cair 900 maksudnya gimana ia??,negatif
Dapatkan tanapa kerumitan di setiap iklan apk nya ehh nyatanya lebih dari rumit dari apk sebelah disini pake slip gaji pake bukti pendapatan updet mutasi rekening itu emang gak rumit bos apk di sebelah mana ada ðŸ˜Ž,negatif
Agak aneh sih..sistem..iya.. kami bisa terima..saat pelunasan selesai.. mau coba ajukan lagi..lha kok dibilang belum lulus verifikasi..lha kemaren kemaren sudah dua kali pinjaman juga lancar...,negatif
"Pinjaman saya sudah lunas, sudah 2 bulan tdk minjam... Limit saya yg tadinya 35juta sekarang jadi cuman 100rbu...ðŸ¤¦â€â™€",negatif
Bagus aplikasinya sangat membantu,positif
2 x pinjem Mash good limitnya setelah bayar malah turun ke awal jdi 200..makin parah jelek,negatif
sangat baik untuk mangajukan pinjaman,positif
Parahhh baru daftar udah ngasi limited 100 RB apaan cobak mending uninstall aja aplikasi gak membantu,negatif
"cepat sih tapi biaya admin 20 persen, rugi sekali",negatif
Lah ko cicilan nya ngak perbulan malah 15 hari kecewa ku kira perbulan ehhh nyata nyah 15 hari gimna nih min,negatif
setelah dilunaskan gabisa pinjam lagi padahal pembayaran bagus ðŸ‘Ž,negatif
"Udah bayar cicilan lunas semuanya, mau pinjaman ulang malah nggak bisa, harus nunggu 15 hari pas udah 15 hari mau pinjaman harus cek limit ternyata ditolak padahal bayarnya rutin",negatif
"sial, biaya layanannya 50 ribu sendiri",negatif
Woy kenapa limit saya malah mengecil????!!!,negatif
limit cuma dapat ikan asin 1 kg,negatif
"Biaya layanan nya klo mau pinjam terlalu besar, tolong lah admin kecilin sedikit biaya layanan, masa lebih besar biaya layanan dri bunga pinjam, gak masuk akal",negatif
semoga maju terus,positif
saya harap pinjaman ini semakin besar semakin merendah bunga nya...,negatif
Udh berapa kli minjem. Limit sgtu sgtu aja,negatif
Percuma di isi data gak pernah di acc pertahun tahun,negatif
baik mudah cairnya,positif
Rabu 17 April (17:28) dengan ini saya meminta kepada pihak easy untuk...jgn menyalah gunakan data saya..apabila digunakan untuk hal yg merugikan saya.. saya pribadi tidak bertanggung jawab.. saya uninstall per hari ini,negatif
limitnya dinaikkan lagi,negatif
Perhari ini tanggal 17 april 2024 saya telah meng uninstal aplikasi easycash..tolong data2 saya di hapus dan jangan disalah gunakan...karena kedepan itu bukan tanggung jawab saya,negatif
Aplikasi aneh 2 x pinjem bayarnya sebelum jatuh tempo. Pas mau pinjem lagi limit ilang aneh x,negatif
sya akan mencobanya sekarang,negatif
"Saya sdh melunasi tagihannya dengan 1x pembayaran, tapi Limit nya malah berkurang dari Limit awal, jadi 100rb.",positif
"pada dasarnya aplikasi ini bagus,refonsif, tapi mohon maaf, karna pengajuan sya di tolak.. maka dengan ini sya minta data peribadi sya yang suda masuk untuk menghindari penyelagunakan data , mohon dengan sangat di hapus sja.. atas kerjasamanya dan sya ucapkan terimakasih dan mohon maaf juga sya akan uninstall aplikasi ini",positif
mantap,positif
easycash sangat membantu,positif
mudah pencairannya,positif
ok cukup membantu,positif
"baru download easycash, semoga bermanfaat dan dapat dipercaya",positif
Sangat membantu,positif
"pinjaman easycash sangat bagus, terimah kasih atas layanannya",positif
mudah mudahan berhasil,positif
Permintaan peminjaman cepat disetujui. tapi ada pemotongan sih kalo pencairan.,negatif
bagus untuk kebutuhan tiba tiba,positif
bagus dan cepat,positif
cukup membantu,positif
semoga terus membantu dan amanah,positif
good job,positif
sdah brapa kali lunasi limit malah menurun,negatif
sangat mudah dan memudahkan,positif
mudah dan cepat pencairannya,positif
"semoga bisa lebih baik lagi , lanjutkan",positif
baik okee,positif
ok,positif
sangat membantu ðŸ‘,positif
pelayanan cukup Baik.,positif
mudah & terpercaya,positif
"saya baru Makai tapi bagus, pendaftaran nya gak ribet",positif
Alhamdulillah terimakasih dapat pinjaman disaat membutuhkan,positif
bagus untuk pemula,positif
cepat tanggap,positif
mantap,positif
sangat membantu,positif
good,positif
ok bisa kalau lolos persetujuan,positif
bintang 4 dlu,positif
"Easycash solusi terbaik untuk lapisan masyarakat,.",positif
puas,positif
"GK bisa cair 100%, kalau bisa cair 100% + bunga diturunin",negatif
bagus,positif
semoga bermanfaat,positif
sangat membantu,positif
bunganya lumayan besar,positif
semoga bermamfaat,positif
cepat,positif
saya coba kasih 4 dulu kalo lancar saya kasih 5,positif
semoga jaya sellu,positif
"mudah""han berhasil",positif
Awal awal si oke makin kesini makin aneh,negatif
mntaap,positif
jos,positif
okelah siip betul,positif
cepat,positif
terima kasih atas bantuannya,positif
"Caranya mudah, proses cepat",positif
"masih pemula,semoga apk nya bagus",positif
bgus,positif
sangat membantu,positif
Udah minjam 4 kali aplikasi ini saya ga telat bayar sebelum tgl bayar yh eh mau gajuin yg ke 5 eh mohon maaf tuk sementara saldo blm ada tolong data saya hapus udh ga ada pinjaman,negatif
sangat gampang sekali e,positif
Baik. Proses cepat,positif
mantao,positif
luarbiasa,positif
good,positif
mudahan bermanfaat,positif
mksi easycash,positif
cukup bagus,positif
membantu,positif
sangat membantu,positif
terima kasih Easycash sudah membantu saya,positif
mudah sekali tanpa ribet,positif
jedah waktu nya klw bisa lebih lama lagi / lebih panjang lagi,negatif
cepat,positif
Cpat.. terimah kasih,positif
bagus,positif
sangat bagus,positif
puas,positif
maju terus,positif
tambahkan DANA dong. biar lebih mudah proses pembayaran nya.,positif
mau saya pelajari menejemen easycash,positif
baik dan bagus,positif
Easyvash sangat baik dan membantu keluarga kami,positif
good,positif
"Maaf kak aplikasi ku g BS di buka knp ya,ap dulu pernah di pakai atas namaku buat pinjaman blm di byar ya BS di bantu kak",negatif
Knpa ya pembayaran lancar tapi pinjam lg di persulit,negatif
mudah2 Han Easycah bisa membatu say,positif
ok,positif
dicoba dlu,positif
baik selalu dan puas,positif
easy,positif
Aplikasinya sangat membantu.,positif
baik bagus oke banget,positif
coba dulu sukses baru mantap,positif
sangat membantu,positif
ok,positif
ok mantap jelas dan cepat prosesnya,positif
utk sementara coba dlu nt kalau bagus bs mengajukan lg walaupun tidak sesuai limit,negatif
membantu sekali,positif
bagus sangat membantu sekali,positif
jd mudah kalau mau pinjam uang..,positif
membantu,positif
sangat sangat membantu,positif
aplikasi ini sangat is the best,positif
sangat mudah mngajukannya mantaap,positif
ok banget,positif
sangatt puas,positif
saya sangat membantu saya dan jga baik dlm pelayanan,positif
Br dwload lngsung di acc,positif
terimaksi telah membantu saya,positif
ok,positif
lumayan bagus n cepat,positif
semoga bisa,positif
sangat baik cepat dan bagus ,positif
baik okee,positif
Mudah dan cepat,positif
"cepat, jelas",positif
good job,positif
cepat baik ramah,positif
okee,positif
Apps.yng baagus. Cepet cair tolong tingkatkan keamanan pencairan pakai pin,positif
oke,positif
mudah dan terpercaya,positif
sangat membantu proses cepat,positif
bagus,positif
good app,positif
sangat membantu,positif
luarbiasa,positif
pencairan sangat cepat,positif
membantu sekali,positif
top,positif
mantap,positif
mantap,positif
"easy cash... mudah, aman dan membantu... thanks bossku",positif
sangat baik mantap,positif
"pengakuan sangat mudah, proses pencairan juga cepat.",positif
easycash emang ada tepat di waktu di butuhkan,positif
good,positif
cair cepet gak sampe 5 menit,positif
moga cair,positif
Easycash sangat membantu ini adlah pinjaman.yg terbaik saya temui tapi tlong dong pengajuan selajut nya,positif
keren. pemula. bisa pinjem gede,positif
Untuk pertama kalinya bagus,positif
mantap cepat proses nyaðŸ˜‡,positif
sangat membantu,positif
saya seneng bisa join bisnis disini,positif
Mntp dengn aplikasi ini ..senank skali,positif
"Sangat puas untuk aplikasi ini, pengajuan data diri GK ribet, proses nya cepat GK harus nunggu 24 jam kek aplikasi sebelah, mending kalo lolos ðŸ˜… canda lolos ðŸ˜›, dalam waktu yg di tentukan langsung dpat limit kredit awal dan lngsung bisa di cairkan di menit itu juga, pencairan nya juga cepat juga. Aplikasi nya juga GK ribet kayak yang lain.",positif
terima kasih easycash,positif
terimakasih aplikasi ini sangat membantu saya,positif
amanah dan mudah,positif
sangat bermanfaat,positif
bunga rendah sangat membantu,positif
tidak ribet dan mudah untuk di cairkan,positif
"Aneh, limit udah 1jt 700 tiba-tiba turun ke 300rb. Tapi gapapa lah",positif
baru coba mudamudahan di lancarkan,positif
mantap,positif
sangat baik membantu Trimakasih,positif
sangat membantu,positif
sanngat membantu,positif
Ok,positif
baru nyoba,positif
cepat jelas baik ðŸ‘Œ,positif
Pengajuan pertama langsung cairrr good lah,positif
"sangat membantu sekali , rekomendasi",positif
sangat membantu,positif
membantu,positif
Easycash mudah 3 menit cair dan tidak ribet,positif
easy cash sangat membatu,positif
Ok,positif
Bagus,positif
temponya tolong d prpnjang si klo bsaâ˜ºï¸,negatif
sangat membantu,positif
Sangat membantu,positif
semoga lancar,positif
good ðŸ˜Š,positif
ok,positif
Tanpa ribet.....okkk,positif
aplikasi yang sangat membantu dalm keadaan darurat,positif
oke banget,positif
sangat membantu,positif
sangat membantu,positif
amanah dan cepat,positif
boleh masuk,positif
Good,positif
Tidak pernah lolos atau pengajuan gagal,negatif
top,positif
baik top sekali,positif
sangat bagus,positif
mantab,positif
"layanan bagus, masih bisa tak bunganya diturunkan",negatif
mantap,positif
bunga terjangkau,positif
"Sangat membantu saya,, trimakasih pada pihak Easycash,, trimakasihðŸ™",positif
cepat proses ny,positif
"Aman terpercaya, bunga ringan tenor panjang",positif
